Date,Samsung,Apple,Xiaomi,Oppo,Vivo,Huawei,Realme,Unknown,OnePlus,Infinix,Tecno,Asus,Motorola,Nokia,Lenovo,Sony,LG,BBK,Itel,Google,General Mobile,HTC,Lava,Infinex,Vestel,Casper,Micromax,Gionee,Honor,LeEco,Sharp,Meizu,QMobile,Reeder,Alcatel,ZTE,Turkcell,Panasonic,Wiko,Mobiistar,Lyf,Coolpad,Yxtel,Other
2021-05,25.4,16.14,15.17,9.26,7.78,8.39,4.34,4.36,1.12,0.59,0.59,0.85,0.65,0.68,0.72,0.6,0.59,0.36,0.19,0.23,0.27,0.29,0.2,0.13,0.12,0.11,0.14,0.08,0.04,0.02,0.04,0.05,0.06,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.21
2021-06,24.55,16.34,15.46,9.55,8.1,8.06,4.63,4.22,1.16,0.62,0.62,0.84,0.68,0.68,0.7,0.56,0.54,0.36,0.2,0.21,0.24,0.29,0.2,0.15,0.11,0.1,0.14,0.07,0.04,0.03,0.04,0.04,0.06,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.19
2021-07,24.32,16.49,15.74,9.55,8.1,7.78,4.81,4.33,1.12,0.67,0.66,0.81,0.68,0.67,0.67,0.53,0.52,0.34,0.21,0.2,0.23,0.27,0.19,0.16,0.1,0.09,0.13,0.07,0.04,0.02,0.04,0.04,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.17
2021-08,24.34,16.05,16.43,9.76,8.74,7.5,5.19,3.01,1.2,0.89,0.76,0.77,0.63,0.63,0.62,0.52,0.51,0.3,0.3,0.23,0.2,0.25,0.16,0.15,0.09,0.09,0.1,0.07,0.03,0.02,0.04,0.04,0.05,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.15
2021-09,23.99,15.9,16.63,9.89,8.88,7.65,5.28,3,1.2,0.9,0.75,0.73,0.61,0.6,0.6,0.5,0.48,0.29,0.29,0.25,0.2,0.23,0.16,0.15,0.09,0.09,0.1,0.06,0.04,0.02,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.15
2021-10,23.45,16.04,16.7,9.73,8.66,7.65,5.91,3.15,1.18,0.92,0.72,0.69,0.61,0.58,0.56,0.49,0.47,0.28,0.27,0.26,0.2,0.22,0.14,0.14,0.09,0.08,0.09,0.06,0.03,0.23,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.13
2021-11,23.51,16.21,16.67,9.72,8.63,7.56,5.31,3.86,1.22,1,0.77,0.68,0.6,0.56,0.51,0.49,0.45,0.26,0.28,0.23,0.18,0.21,0.14,0.15,0.08,0.08,0.08,0.05,0.03,0.09,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.12
2021-12,23.44,17.1,16.84,9.6,8.36,7.15,5.26,3.93,1.24,0.97,0.72,0.67,0.59,0.55,0.5,0.49,0.44,0.24,0.26,0.24,0.2,0.21,0.13,0.14,0.08,0.08,0.08,0.05,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2022-01,23.43,17.73,16.82,9.55,8.73,6.68,5.62,3.18,1.41,0.91,0.7,0.62,0.57,0.52,0.5,0.53,0.42,0.23,0.23,0.29,0.23,0.19,0.12,0.12,0.08,0.08,0.06,0.05,0.05,0.02,0.04,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2022-02,23.68,17.9,16.61,9.45,8.59,6.61,5.68,3.26,1.39,0.94,0.77,0.59,0.55,0.51,0.5,0.55,0.42,0.22,0.27,0.27,0.21,0.17,0.11,0.12,0.07,0.07,0.06,0.04,0.06,0.02,0.04,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2022-03,24.39,17.78,16.66,9.21,8.22,6.92,5.52,3.24,1.35,0.92,0.75,0.57,0.52,0.47,0.46,0.54,0.43,0.2,0.25,0.26,0.28,0.18,0.11,0.11,0.09,0.1,0.05,0.04,0.05,0.01,0.03,0.03,0.01,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.11
2022-04,23.61,18,16.78,9.49,8.49,6.31,5.73,3.62,1.4,0.96,0.73,0.58,0.52,0.49,0.44,0.55,0.38,0.19,0.25,0.28,0.2,0.18,0.1,0.11,0.07,0.07,0.05,0.04,0.06,0.01,0.03,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.1
2022-05,24.95,17.91,17.5,9.02,7.77,6.57,5.37,3.06,1.34,0.91,0.72,0.51,0.49,0.46,0.42,0.52,0.43,0.16,0.23,0.25,0.36,0.16,0.08,0.1,0.11,0.12,0.04,0.03,0.05,0.01,0.03,0.03,0.01,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.1
