Date,Apple,Samsung,Motorola,LG,Huawei,Google,Xiaomi,Unknown,OnePlus,Oppo,ZTE,Vivo,Alcatel,Nokia,T-Mobile,Realme,Lenovo,Sony,Kyocera,Unimax,Coolpad,Sumsung,Infinix,Tecno,Asus,HTC,AT&T,TCL,Lanix,RIM,BlackBerry,Honor,Itel,Other
2021-05,53.93,25.79,4.33,4.24,2.96,2.15,1.5,1.86,0.57,0.32,0.35,0.23,0.24,0.18,0.15,0.16,0.16,0.1,0.08,0.05,0.09,0.07,0.05,0.05,0.06,0.05,0.03,0,0.02,0.02,0.02,0.02,0.01,0.17
2021-06,53.62,26.16,4.49,4.31,2.89,2.11,1.55,1.54,0.57,0.35,0.35,0.25,0.24,0.19,0.16,0.17,0.15,0.11,0.08,0.06,0.09,0.07,0.05,0.06,0.06,0.05,0.03,0,0.02,0.02,0.01,0.01,0.01,0.17
2021-07,53.6,26.28,4.52,4.27,2.75,2.1,1.52,1.61,0.6,0.35,0.33,0.25,0.23,0.19,0.17,0.16,0.16,0.1,0.08,0.08,0.09,0.07,0.06,0.06,0.05,0.04,0.03,0,0.02,0.02,0.01,0.01,0.01,0.17
2021-08,52.8,27.65,4.5,3.99,2.74,2.05,1.61,1.07,0.79,0.36,0.33,0.26,0.21,0.17,0.17,0.16,0.16,0.09,0.07,0.2,0.07,0.06,0.08,0.07,0.05,0.04,0.02,0,0.02,0.02,0.01,0.01,0.02,0.15
2021-09,52.98,27.59,4.66,3.86,2.72,1.97,1.68,1.08,0.78,0.37,0.34,0.25,0.2,0.17,0.16,0.16,0.16,0.09,0.07,0.12,0.07,0.06,0.07,0.06,0.05,0.04,0.02,0,0.02,0.02,0.01,0.01,0.02,0.14
2021-10,53.5,27.61,4.66,3.75,2.64,1.94,1.61,1.07,0.75,0.35,0.32,0.21,0.18,0.16,0.14,0.15,0.16,0.08,0.07,0.09,0.07,0.06,0.06,0.05,0.04,0.04,0.02,0,0.02,0.01,0.01,0.01,0.01,0.13
2021-11,54.45,27.39,4.71,3.52,2.4,1.87,1.55,1.08,0.74,0.33,0.31,0.18,0.17,0.15,0.13,0.14,0.15,0.08,0.07,0.08,0.07,0.06,0.05,0.05,0.04,0.03,0.02,0,0.01,0.01,0.01,0.01,0.01,0.11
2021-12,55.58,26.95,4.55,3.24,2.15,2.21,1.44,1.11,0.71,0.3,0.28,0.16,0.15,0.15,0.12,0.13,0.14,0.07,0.07,0.05,0.06,0.06,0.04,0.04,0.04,0.03,0.02,0,0.01,0.01,0.01,0.01,0.01,0.1
2022-01,55.98,27.06,4.65,2.95,1.82,2.14,1.47,0.95,0.79,0.32,0.28,0.16,0.15,0.15,0.18,0.14,0.13,0.07,0.07,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.04,0.05,0.01,0.01,0.01,0.01,0.01,0.11
2022-02,53.87,28.34,5.28,3.06,1.62,2.22,1.53,0.91,0.79,0.36,0.29,0.18,0.14,0.19,0.21,0.14,0.12,0.07,0.07,0.04,0.05,0.06,0.06,0.05,0.04,0.04,0.04,0.06,0.01,0.01,0.01,0.01,0.01,0.12
2022-03,54.15,28.47,5.17,2.9,1.56,2.23,1.43,1.01,0.79,0.33,0.27,0.17,0.13,0.2,0.21,0.13,0.12,0.07,0.07,0.04,0.05,0.06,0.05,0.05,0.03,0.03,0.04,0.06,0.01,0.01,0.01,0.01,0.01,0.11
2022-04,54.32,28.32,5.27,2.77,1.46,2.32,1.4,1.14,0.79,0.32,0.25,0.18,0.12,0.18,0.22,0.14,0.11,0.06,0.08,0.03,0.04,0.06,0.05,0.04,0.04,0.03,0.04,0.06,0.01,0.01,0.01,0.01,0.01,0.11
2022-05,54.1,28.47,5.37,2.61,1.51,2.31,1.51,1.06,0.79,0.36,0.25,0.2,0.12,0.19,0.22,0.15,0.11,0.06,0.07,0.03,0.04,0.05,0.06,0.05,0.04,0.03,0.03,0.06,0.01,0.01,0.01,0.02,0.01,0.12
